tag mll pt1 eta1 pt2 eta2 pt3 eta3 pt4 eta4 met
m 91.3017186284 45.7865 2.43757 45.371 2.32405 NA NA NA NA 429.552
e 70.857888761 30.5156 0.775919 16.1574 1.3187 NA NA NA NA 293.743
m 9.29000543548 22.0983 0.961393 20.5661 0.553393 NA NA NA NA 372.545
g 107.271155908 57.7003 0.0541656 44.9877 0.68567 NA NA NA NA 461.671
g 101.586895248 55.3742 0.0810487 44.3538 0.574767 NA NA NA NA 289.243
e 96.854563889 49.6172 2.40722 47.2537 2.32332 NA NA NA NA 385.368
e 85.4549631092 32.6709 0.864178 24.425 1.08524 NA NA NA NA 300.491
m 88.5817816553 61.2105 0.836195 26.5798 1.76983 NA NA NA NA 652.748
e 1020.89394537 378.626 0.428273 354.827 1.29339 NA NA NA NA 1483.99
g 108.29895231 67.9529 0.652197 32.929 1.77868 NA NA NA NA 589.178
g 121.252192377 45.8077 0.170324 42.0155 1.86866 NA NA NA NA 319.941
m 9.34837119905 31.0532 1.13796 21.2919 0.800919 NA NA NA NA 618.246
g 120.7792453 95.8342 1.19613 38.6028 1.25218 NA NA NA NA 583.771
e 1227.62115987 486.035 0.730284 477.192 0.719754 NA NA NA NA 1212.39
e 90.8450597294 73.6039 1.90011 20.0815 0.0438486 NA NA NA NA 482.343
g 137.504348611 62.4728 0.253683 33.2354 2.30299 NA NA NA NA 366.164
e 10.9077478373 8.29137 1.54784 7.08435 1.1976 NA NA NA NA 617.287
g 113.357304442 53.9411 1.83592 40.5099 0.539899 NA NA NA NA 617.287
m 10.5637786322 60.4098 0.372268 36.9634 0.511218 NA NA NA NA 416.928
e 87.9378341063 45.9594 1.64396 35.9267 0.766912 NA NA NA NA 278.785
m 75.8753379706 37.7143 1.74381 36.0023 1.23477 NA NA NA NA 495.751
e 91.8043527002 37.0028 2.22096 35.1687 0.776217 NA NA NA NA 247.382
g 103.416448406 54.0479 0.179074 36.3864 1.3173 NA NA NA NA 364.647
m 90.9077196256 40.2471 0.404524 29.9748 1.14719 NA NA NA NA 427.697
g 158.433127202 81.9654 0.106577 59.5606 0.949702 NA NA NA NA 540.401
m 3.11763058787 30.122 0.338115 21.6799 0.257448 NA NA NA NA 629.028
m 3.14229653391 25.9612 0.0521361 24.2069 0.0273437 NA NA NA NA 722.279
m 89.7351802434 59.4533 0.515395 35.9902 0.146821 NA NA NA NA 441.9
e 87.7188649224 66.5859 0.0864118 37.7888 0.201421 NA NA NA NA 501.493
m 3.13645509022 30.5515 1.97644 20.6759 2.10064 NA NA NA NA 614.216
g 117.486808857 73.919 1.06473 46.6731 1.03235 NA NA NA NA 299.653
e 981.998032157 472.24 0.827289 357.71 0.411143 NA NA NA NA 1455.44
e 83.7920309996 46.4135 1.25735 36.0814 1.69283 NA NA NA NA 347.22
m 92.7335560144 34.7414 0.185752 32.1088 1.94102 NA NA NA NA 404.488
g 105.83440285 64.8757 1.09475 45.3475 1.27408 NA NA NA NA 686.15
e 88.8510225391 62.1357 0.945832 35.7398 0.992356 NA NA NA NA 426.33
m 87.3289936467 44.6825 1.46844 42.0965 1.70248 NA NA NA NA 515.612
e 85.2140841478 47.9508 1.88647 37.9968 1.66476 NA NA NA NA 690.245
g 111.781362189 47.0523 0.940547 30.8777 0.924041 NA NA NA NA 527.306
m 89.9850025592 64.8388 0.446446 27.8183 0.60609 NA NA NA NA 614.666
m 79.2986738062 32.1618 0.321452 31.1744 1.72109 NA NA NA NA 214.99
g 108.041659504 65.2309 0.341947 36.8624 0.705287 NA NA NA NA 671.312
g 128.739836215 70.3645 2.08261 59.948 2.3158 NA NA NA NA 674.331
g 116.130574437 45.3232 2.09269 38.369 0.0777811 NA NA NA NA 671.804
e 90.6519022208 37.4516 0.269158 27.7035 2.02983 NA NA NA NA 402.317
e 91.008477028 39.1417 0.441555 39.6767 0.657012 NA NA NA NA 372.944
m 79.3440431475 38.3001 0.146263 35.2164 0.656815 NA NA NA NA 541.414
g 105.897667753 57.6118 0.611055 43.1695 1.31032 NA NA NA NA 363.346
m 91.1676903736 39.4619 0.363032 33.2073 1.04762 NA NA NA NA 492.408
e 84.066906184 42.8525 1.02509 41.255 1.03156 NA NA NA NA 452.487
e 8.92043785716 20.3806 0.52664 13.1947 0.17628 NA NA NA NA 207.201
g 129.336572163 61.3309 1.73816 51.3648 0.637854 NA NA NA NA 366.77
m 100.47743849 32.2364 0.679003 31.092 1.39452 NA NA NA NA 733.822
m 92.8580485768 48.3394 0.318114 44.6893 0.609627 NA NA NA NA 397.047
g 151.540834387 78.9284 1.33241 63.3448 0.435802 NA NA NA NA 624.535
m 91.3139501131 49.0245 1.99342 42.2809 2.15141 NA NA NA NA 997.691
g 125.650766548 40.6134 0.345469 37.6143 1.76029 NA NA NA NA 481.84
g 108.912775531 48.5784 2.3751 46.8805 1.27532 NA NA NA NA 1258.15
