mass v1 v2 v3 v4 v5 v6 tag
mass tag
89.3918761526 e
91.0529785553 m
1533.24069684 4me
680.757311127 4ee
86.2295188665 m
92.2260721427 e
83.0371766651 m
1434.69740028 4me
97.072222821 m
88.993730924 e
88.2229769487 m
1352.34488297 4me
1379.92214087 4ee
90.6742299169 e
90.7936002007 m
1505.31213906 4me
1335.19022653 4mm
1274.18912967 4ee
1457.96158261 4ee
89.5724835787 e
100.062373882 m
91.451731161 m
78.5939153227 e
96.3869760284 m
1446.25898882 4me
90.5494925629 e
92.738222416 e
96.0947405562 m
1551.94562373 4me
105.295485468 e
1390.59372618 4ee
87.459006546 e
107.402261244 e
90.3614414349 m
1481.96683155 4me
1517.88658311 4mm
91.0102717788 e
85.3685986339 m
1532.44924948 4me
1566.72696806 4mm
1515.2858321 4mm
92.6238680114 e
97.9596520726 m
1536.32040835 4me
93.1560898464 e
91.0146216564 m
1387.9893275 4me
1554.1697868 4ee
1330.31933626 4mm
89.2116919881 e
101.906417988 m
1494.1200572 4ee
95.2212300137 e
83.0396365593 m
1549.33426264 4me
106.10945681 e
83.874898363 m
1383.86843682 4me
92.2909938749 e
83.5388097896 m
1451.60212071 4me
1314.10914366 4mm
88.5766364285 e
97.6883473483 m
1584.17636453 4me
90.3081338282 e
86.277553341 m
1326.64031186 4me
831.622070341 4mm
91.7631306573 e
92.2523477034 m
1393.25335408 4me
91.8292932739 e
72.259718864 e
95.9051602202 m
1427.0117504 4me
88.2933581238 e
69.2258171096 m
1348.09931536 4me
93.7201472631 m
98.6901090338 e
90.3829249154 m
1481.143123 4me
1485.13809398 4mm
1653.01348791 4mm
88.5598183372 e
109.576965331 m
1992.12281299 4me
87.7321277908 e
89.6789514758 e
112.562566921 m
1455.05002168 4me
90.3086874843 e
80.3635362408 m
1259.61168441 4me
2071.37683032 4ee
90.3874815751 e
143.378339419 m
1456.94755545 4ee
94.6337199804 m
1253.18326219 4ee
92.2499403539 e
41.0715949946 m
1584.53433126 4me
912.704908213 4ee
96.2976195538 m
95.5483486719 e
1375.70947307 4mm
1367.52590263 4mm
1480.80989432 4mm
88.482587802 e
81.7071969263 m
1508.84115522 4me
91.9285287109 e
88.2316758071 m
1360.56988224 4me
91.2713059951 e
94.7302466812 m
1554.64883158 4me
79.6286313815 e
92.9545456961 m
1491.38081479 4me
92.3170260924 e
76.1296509706 m
1323.26014896 4me
1571.6805873 4ee
1431.78310228 4ee
88.717617445 e
86.5216104747 m
1465.79426026 4me
88.6431067644 e
89.9916527824 m
1505.66265443 4me
90.7261062292 e
116.033541907 m
69.3575694279 e
81.5953145136 m
1643.44433187 4me
1595.82807943 4mm
1334.19978867 4ee
90.5732707245 e
84.3800731808 m
676.106282845 4me
88.5196055451 e
90.582449613 m
1427.91563329 4me
94.2057941339 m
71.7450700233 e
93.2647078397 e
1655.2806247 4mm
91.8042682104 e
84.7961762118 m
1496.36255572 4me
1985.22474832 4mm
1525.20818511 4ee
1520.55398864 4mm
1285.70736036 4mm
95.9275816821 e
92.5137987142 m
1526.08989905 4me
74.0163308578 e
103.522506997 m
1519.1965375 4me
23.8511745744 m
89.9963758012 e
93.4399804558 m
1494.20922503 4me
85.0787432982 e
90.9840856796 m
1614.52940762 4me
1405.48033987 4mm
81.8438516062 e
92.3530113284 m
1474.92973547 4me
87.7121117286 m
861.593543417 4ee
90.0961283285 e
93.1046042573 m
1527.69747263 4me
84.617214182 e
88.5578645323 m
1166.05840953 4me
90.8595275578 e
82.614316067 m
1342.77014164 4me
91.3442181725 e
91.9554102165 m
1598.2852102 4me
1528.451449 4mm
88.6437235302 m
1526.70635605 4mm
92.3871662575 m
91.3274443591 e
91.8704489989 m
1593.20253891 4me
94.9351257541 e
29.3361736839 m
85.758117743 e
79.878981267 m
1382.54512816 4me
92.3672889647 m
90.7038544702 e
91.0911746467 e
91.2310244182 m
1440.66866952 4me
1671.49625401 4mm
88.3746535466 e
86.8807206834 m
1260.998933 4me
41.9142336363 m
89.9341821004 e
96.4630842396 m
1676.8456523 4me
89.195086348 e
91.038446516 m
1347.83650568 4me
95.678815225 e
98.2652209588 m
1624.33399425 4me
90.9571200097 e
93.3097975243 m
1558.74898128 4me
1452.72961348 4ee
1544.32692804 4ee
